潮汕,#genre#  

普宁台,http://cdn.jdshipin.com:8880/chudian.php?id=pnzh
普宁台,http://php.jdshipin.com:8880/PLTV/chudian.php?id=pnzh
普宁台,https://stqznews.top/tv/live/pnt.php
普宁台,http://xxw.me0.cn/php/cdian.php?id=pnzh
普宁台,https://vip.ott-iptv.top/xue/itouch.php?pk=2450
普宁直播台,https://pull-flv-f1.douyincdn.com/media/stream-403779064313152172.flv?abr_pts=-800&_session_id=037-202407290419164F53B36BA9731A253C5B.1722198065684.52231

揭阳综合高清,http://14.117.233.15:9000/udp/239.77.0.229:5146
揭阳公共高清,http://14.117.233.15:9000/udp/239.77.0.251:5146
汕头综合高清,http://14.117.233.15:9000/udp/239.77.1.130:5146
汕头综合高清,http://14.117.233.15:9000/udp/239.253.43.45:5146
汕头经济生活高清,http://14.117.233.15:9000/udp/239.77.1.131:5146
汕头经济生活高清,http://14.117.233.15:9000/udp/239.253.43.46:5146
汕头文旅体育高清,http://14.117.233.15:9000/udp/239.77.1.132:5146
汕头文旅体育高清,http://14.117.233.15:9000/udp/239.253.43.47:5146
汕尾新闻高清,http://14.117.233.15:9000/udp/239.77.0.25:5146
汕尾文化高清,http://14.117.233.15:9000/udp/239.77.0.187:5146

揭阳综合高清,http://113.100.72.213:8899/udp/239.77.0.229:5146
揭阳公共高清,http://113.100.72.213:8899/udp/239.77.0.251:5146
汕头综合高清,http://113.100.72.213:8899/udp/239.77.1.130:5146
汕头综合高清,http://113.100.72.213:8899/udp/239.253.43.45:5146
汕头经济生活高清,http://113.100.72.213:8899/udp/239.77.1.131:5146
汕头经济生活高清,http://113.100.72.213:8899/udp/239.253.43.46:5146
汕头文旅体育高清,http://113.100.72.213:8899/udp/239.77.1.132:5146
汕头文旅体育高清,http://113.100.72.213:8899/udp/239.253.43.47:5146
汕尾新闻高清,http://113.100.72.213:8899/udp/239.77.0.25:5146
汕尾文化高清,http://113.100.72.213:8899/udp/239.77.0.187:5146



揭阳综合高清,http://113.83.248.110:4200/udp/239.77.0.229:5146
揭阳公共高清,http://113.83.248.110:4200/udp/239.77.0.251:5146
汕头综合高清,http://113.83.248.110:4200/udp/239.77.1.130:5146
汕头综合高清,http://113.83.248.110:4200/udp/239.253.43.45:5146
汕头经济生活高清,http://113.83.248.110:4200/udp/239.77.1.131:5146
汕头经济生活高清,http://113.83.248.110:4200/udp/239.253.43.46:5146
汕头文旅体育高清,http://113.83.248.110:4200/udp/239.77.1.132:5146
汕头文旅体育高清,http://113.83.248.110:4200/udp/239.253.43.47:5146
汕尾新闻高清,http://113.83.248.110:4200/udp/239.77.0.25:5146
汕尾文化高清,http://113.83.248.110:4200/udp/239.77.0.187:5146


揭阳综合高清,http://121.13.165.98:8000/udp/239.77.0.229:5146
揭阳公共高清,http://121.13.165.98:8000/udp/239.77.0.251:5146
汕头综合高清,http://121.13.165.98:8000/udp/239.77.1.130:5146
汕头综合高清,http://121.13.165.98:8000/udp/239.253.43.45:5146
汕头经济生活高清,http://121.13.165.98:8000/udp/239.77.1.131:5146
汕头经济生活高清,http://121.13.165.98:8000/udp/239.253.43.46:5146
汕头文旅体育高清,http://121.13.165.98:8000/udp/239.77.1.132:5146
汕头文旅体育高清,http://121.13.165.98:8000/udp/239.253.43.47:5146
汕尾新闻高清,http://121.13.165.98:8000/udp/239.77.0.25:5146
汕尾文化高清,http://121.13.165.98:8000/udp/239.77.0.187:5146



「电信」汕头综合,http://ddns.cyruslee.top:8888/udp/239.77.1.130:5146
「电信」汕头综合,http://ddns.cyruslee.top:8888/udp/239.253.43.45:5146
「电信」汕头经济,http://ddns.cyruslee.top:8888/udp/239.77.1.131:5146
「电信」汕头经济,http://ddns.cyruslee.top:8888/udp/239.253.43.46:5146
「电信」汕头体育,http://ddns.cyruslee.top:8888/udp/239.77.1.132:5146
「电信」汕头体育,http://ddns.cyruslee.top:8888/udp/239.253.43.47:5146
「电信」揭阳综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.229:5146
「电信」揭阳公共高清,http://ddns.cyruslee.top:8888/udp/239.77.0.251:5146

「移动1」汕头综合HD,http://120.234.49.38:7000/udp/239.21.0.101:3744
「移动1」汕头生活HD,http://120.234.49.38:7000/udp/239.21.0.102:3748
「移动1」汕头体育HD,http://120.234.49.38:7000/udp/239.21.0.103:3752


「移动2」汕头综合HD,http://203.88.42.189:55555/udp/239.21.0.101:3744
「移动2」汕头生活HD,http://203.88.42.189:55555/udp/239.21.0.102:3748
「移动2」汕头体育HD,http://203.88.42.189:55555/udp/239.21.0.103:3752

广东,#genre#  

广东卫视高清,http://14.117.233.15:9000/udp/239.77.1.19:5146
广东卫视高清,http://14.117.233.15:9000/udp/239.77.1.152:5146
广东卫视高清,http://14.117.233.15:9000/udp/239.77.0.84:5146
广东卫视超清,http://14.117.233.15:9000/udp/239.77.0.166:5146
南方卫视高清,http://14.117.233.15:9000/udp/239.77.0.215:5146
南方卫视,http://14.117.233.15:9000/udp/239.77.0.9:5146
南方卫视,http://14.117.233.15:9000/udp/239.77.1.12:5146
广东珠江高清,http://14.117.233.15:9000/udp/239.77.0.1:5146
广东珠江超清,http://14.117.233.15:9000/udp/239.77.0.114:5146
广东新闻高清,http://14.117.233.15:9000/udp/239.77.0.173:5146
广东新闻,http://14.117.233.15:9000/udp/239.77.0.4:5146
广东公共高清,http://14.117.233.15:9000/udp/239.77.0.225:5146
广东公共,http://14.117.233.15:9000/udp/239.77.0.5:5146
广东民生高清,http://14.117.233.15:9000/udp/239.77.0.225:5146
广东民生,http://14.117.233.15:9000/udp/239.77.0.5:5146
广东体育（深圳）,http://14.117.233.15:9000/udp/239.77.1.97:5146
广东体育高清-测试,http://14.117.233.15:9000/udp/239.77.0.112:5146
广东体育超清,http://14.117.233.15:9000/udp/239.77.0.168:5146
广东体育,http://14.117.233.15:9000/udp/239.77.0.6:5146
经济科教高清,http://14.117.233.15:9000/udp/239.77.0.85:5146
经济科教超清,http://14.117.233.15:9000/udp/239.77.0.167:5146
经济科教,http://14.117.233.15:9000/udp/239.77.0.8:5146
广东影视高清,http://14.117.233.15:9000/udp/239.77.0.217:5146
广东影视,http://14.117.233.15:9000/udp/239.77.0.11:5146
广东少儿高清,http://14.117.233.15:9000/udp/239.77.0.250:5146
广东少儿,http://14.117.233.15:9000/udp/239.77.0.12:5146
嘉佳卡通高清,http://14.117.233.15:9000/udp/239.77.0.179:5146
嘉佳卡通,http://14.117.233.15:9000/udp/239.77.0.13:5146
嘉佳卡通,http://14.117.233.15:9000/udp/239.77.1.15:5146
广东综艺 4K50p,http://14.117.233.15:9000/udp/239.77.1.236:5146
广东综艺 4K,http://14.117.233.15:9000/udp/239.77.1.237:5146
广东综艺(4k),http://14.117.233.15:9000/udp/239.77.0.244:5146



广东卫视高清,http://113.100.72.213:8899/udp/239.77.1.19:5146
广东卫视高清,http://113.100.72.213:8899/udp/239.77.1.152:5146
广东卫视高清,http://113.100.72.213:8899/udp/239.77.0.84:5146
广东卫视超清,http://113.100.72.213:8899/udp/239.77.0.166:5146
南方卫视高清,http://113.100.72.213:8899/udp/239.77.0.215:5146
南方卫视,http://113.100.72.213:8899/udp/239.77.0.9:5146
南方卫视,http://113.100.72.213:8899/udp/239.77.1.12:5146
广东珠江高清,http://113.100.72.213:8899/udp/239.77.0.1:5146
广东珠江超清,http://113.100.72.213:8899/udp/239.77.0.114:5146
广东新闻高清,http://113.100.72.213:8899/udp/239.77.0.173:5146
广东新闻,http://113.100.72.213:8899/udp/239.77.0.4:5146
广东公共高清,http://113.100.72.213:8899/udp/239.77.0.225:5146
广东公共,http://113.100.72.213:8899/udp/239.77.0.5:5146
广东民生高清,http://113.100.72.213:8899/udp/239.77.0.225:5146
广东民生,http://113.100.72.213:8899/udp/239.77.0.5:5146
广东体育（深圳）,http://113.100.72.213:8899/udp/239.77.1.97:5146
广东体育高清-测试,http://113.100.72.213:8899/udp/239.77.0.112:5146
广东体育超清,http://113.100.72.213:8899/udp/239.77.0.168:5146
广东体育,http://113.100.72.213:8899/udp/239.77.0.6:5146
经济科教高清,http://113.100.72.213:8899/udp/239.77.0.85:5146
