潮汕,#genre#  


普宁台,http://php.jdshipin.com:8880/chudian.php?id=pnzh
普宁台,http://php.jdshipin.com:8880/PLTV/chudian.php?id=pnzh

普宁台,http://xxw.me0.cn/php/cdian.php?id=pnzh
普宁台,https://stqznews.top/tv/live/pnt.php



揭阳综合高清,http://14.117.236.199:9000/udp/239.77.0.229:5146
揭阳公共高清,http://14.117.236.199:9000/udp/239.77.0.251:5146
汕头综合高清,http://14.117.236.199:9000/udp/239.77.1.130:5146
汕头综合高清,http://14.117.236.199:9000/udp/239.253.43.45:5146
汕头经济生活高清,http://14.117.236.199:9000/udp/239.77.1.131:5146
汕头经济生活高清,http://14.117.236.199:9000/udp/239.253.43.46:5146
汕头文旅体育高清,http://14.117.236.199:9000/udp/239.77.1.132:5146
汕头文旅体育高清,http://14.117.236.199:9000/udp/239.253.43.47:5146
汕尾新闻高清,http://14.117.236.199:9000/udp/239.77.0.25:5146
汕尾文化高清,http://14.117.236.199:9000/udp/239.77.0.187:5146


揭阳综合高清,http://113.71.148.134:5555/udp/239.77.0.229:5146
揭阳公共高清,http://113.71.148.134:5555/udp/239.77.0.251:5146
汕头综合高清,http://113.71.148.134:5555/udp/239.77.1.130:5146
汕头综合高清,http://113.71.148.134:5555/udp/239.253.43.45:5146
汕头经济生活高清,http://113.71.148.134:5555/udp/239.77.1.131:5146
汕头经济生活高清,http://113.71.148.134:5555/udp/239.253.43.46:5146
汕头文旅体育高清,http://113.71.148.134:5555/udp/239.77.1.132:5146
汕头文旅体育高清,http://113.71.148.134:5555/udp/239.253.43.47:5146
汕尾新闻高清,http://113.71.148.134:5555/udp/239.77.0.25:5146
汕尾文化高清,http://113.71.148.134:5555/udp/239.77.0.187:5146


揭阳综合高清,http://113.103.253.123:2000/udp/239.77.0.229:5146
揭阳公共高清,http://113.103.253.123:2000/udp/239.77.0.251:5146
汕头综合高清,http://113.103.253.123:2000/udp/239.77.1.130:5146
汕头综合高清,http://113.103.253.123:2000/udp/239.253.43.45:5146
汕头经济生活高清,http://113.103.253.123:2000/udp/239.77.1.131:5146
汕头经济生活高清,http://113.103.253.123:2000/udp/239.253.43.46:5146
汕头文旅体育高清,http://113.103.253.123:2000/udp/239.77.1.132:5146
汕头文旅体育高清,http://113.103.253.123:2000/udp/239.253.43.47:5146
汕尾新闻高清,http://113.103.253.123:2000/udp/239.77.0.25:5146
汕尾文化高清,http://113.103.253.123:2000/udp/239.77.0.187:5146


汕头新闻综合,https://stqznews.top/tv/live/stzhbq.php 
汕头新闻综合,http://php.jdshipin.com:8880/PLTV/iptv.php?id=stzh
汕头综合,http://php.jdshipin.com:8880/PLTV/iptv.php?id=stzh
梅州综合,http://php.jdshipin.com:8880/PLTV/chudian.php?id=mzzh
潮安综合,http://php.jdshipin.com:8880/PLTV/chudian.php?id=cazh
揭西台,http://113.64.145.61:8081/hls/19/index.m3u8


汕头台,http://113.64.145.61:8081/hls/24/index.m3u8
揭西台,http://113.64.145.93:8081/hls/19/index.m3u8



汕头台,http://113.64.145.93:8081/hls/24/index.m3u8
汕头文旅,http://27.41.250.10:801/hls/80/index.m3u8

